alpha,beta,seed,variant,C,P,generalization_score,sample_recall_score
20.0,0.3,1,A,16,640,0.7421875,0.91015625
20.0,0.5,1,A,16,640,0.76171875,0.9453125
20.0,1.6629366874694824,1,B,16,640,0.57421875,0.609375
20.0,0.1,2,A,16,640,0.59375,0.6484375
20.0,0.3,2,A,16,640,0.71484375,0.93359375
20.0,0.5,2,A,16,640,0.69921875,0.96484375
20.0,1.6456161737442017,2,B,16,640,0.67578125,0.71484375
20.0,0.1,3,A,16,640,0.6328125,0.64453125
20.0,0.3,3,A,16,640,0.74609375,0.96484375
20.0,0.5,3,A,16,640,0.66796875,1.0
20.0,1.6289489269256592,3,B,16,640,0.54296875,0.56640625
20.0,0.1,4,A,16,640,0.50390625,0.61328125
20.0,0.3,4,A,16,640,0.640625,0.90625
20.0,0.5,4,A,16,640,0.5625,0.9375
20.0,1.6360169649124146,4,B,16,640,0.58984375,0.53125
50.0,0.1,0,A,16,1600,0.49609375,0.5234375
50.0,0.3,0,A,16,1600,0.6640625,0.890625
50.0,0.5,0,A,16,1600,0.63671875,0.98046875
50.0,1.6567870378494263,0,B,16,1600,0.5859375,0.6328125
50.0,0.1,1,A,16,1600,0.625,0.64453125
50.0,0.3,1,A,16,1600,0.7578125,0.87109375
50.0,0.5,1,A,16,1600,0.69140625,0.9296875
50.0,1.6122158765792847,1,B,16,1600,0.51953125,0.53515625
50.0,0.1,2,A,16,1600,0.546875,0.609375
50.0,0.3,2,A,16,1600,0.62890625,0.86328125
50.0,0.5,2,A,16,1600,0.59765625,0.97265625
50.0,1.6168198585510254,2,B,16,1600,0.53125,0.69921875
50.0,0.1,3,A,16,1600,0.47265625,0.51953125
50.0,0.3,3,A,16,1600,0.62890625,0.90234375
50.0,0.5,3,A,16,1600,0.59375,0.96875
50.0,1.6882047653198242,3,B,16,1600,0.5703125,0.5390625
50.0,0.1,4,A,16,1600,0.49609375,0.60546875
50.0,0.3,4,A,16,1600,0.64453125,0.84765625
50.0,0.5,4,A,16,1600,0.6328125,0.90234375
50.0,1.6744029521942139,4,B,16,1600,0.66796875,0.57421875
